
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/AIFormatter.swift:89)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/AIFormatter.swift:112)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/WorkoutAnalysisEngine.swift:65)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Strategies/RecoveryStrategy.swift:60)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Strategies/RecoveryStrategy.swift:100)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Strategies/RecoveryStrategy.swift:189)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Strategies/NutritionStrategy.swift:62)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Models/PersonaModels.swift:381)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:91)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:93)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:101)
[FILE_SIZE] File too large: 1111 lines (max: 1000) (AirFit/Modules/Workouts/Views/WorkoutDashboardView.swift)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:389)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:391)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1220)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1221)
[FILE_SIZE] File too large: 1102 lines (max: 1000) (AirFit/Modules/Workouts/Views/WorkoutDetailView.swift)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1222)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1413)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1457)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1494)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1632)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1645)
[FILE_SIZE] File too large: 1020 lines (max: 1000) (AirFit/Modules/Body/Views/BodyDashboardView.swift)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:1741)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/CoachEngine.swift:2004)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PersonaSynthesizer.swift:86)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PreviewGenerator.swift:171)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PreviewGenerator.swift:172)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PreviewGenerator.swift:176)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PreviewGenerator.swift:186)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/PreviewGenerator.swift:258)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:178)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:179)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:181)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:195)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:196)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:197)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:201)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:202)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:203)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:207)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:208)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:209)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:226)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/PersonaSynthesis/FallbackPersonaGenerator.swift:232)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/FoodTracking/Views/PhotoInputView.swift:525)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:90)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:120)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:153)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:203)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:204)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:315)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:318)
